bigram,total_bigrams
text bilbo,367
deep blue,366
legolas realized,366
thorin watched,366
bright eyes,365
night air,365
eyes flicked,364
bard sighed,363
thranduil held,363
bard told,362
bard couldn’t,361
elladan looked,361
forest river,360
pipe weed,359
legolas drew,358
master elrond,358
quick glance,358
white hair,358
fangorn forest,355
raised eyebrow,355
eyes widening,354
leans forward,353
aragorn laughed,352
black haired,352
thorin finally,352
thorin whispered,352
thorin’s voice,352
legolas elrond,350
legolas rolled,350
i’ve heard,349
lord erestor,349
steps forward,349
black eyes,348
grey wizard,348
elf's eyes,347
entire time,346
legolas arm,346
0 0,345
bedside table,345
frodo smiled,345
gandalf replied,345
heard legolas,345
feel free,344
lady dís,344
minas ithil,344
white council,344
bard shook,343
gimli grumbled,343
thranduil stared,343
aragorn sat,342
elf maid,341
kíli nodded,341
lord bard,339
smiled sadly,339
text thorin,339
thranduil’s lips,338
aragorn watched,337
bilbo frowned,337
fëa mate,337
legolas quickly,337
entire life,336
gentle kiss,336
bard’s eyes,334
eyes flashed,333
eden ardhon,332
kili’s eyes,332
step closer,332
cross legged,331
hours ago,331
master gimli,331
cold water,330
gimli muttered,329
haldir nodded,328
kíli replied,328
miss baggins,328
gandalf told,327
thran nodded,325
legolas’s hand,324
makes sense,323
eyes snapped,322
fili nodded,321
mister baggins,321
prince kíli,321
warm smile,321
chapter 9,319
dwarf gimli,319
gimli snorted,319
wry smile,319
black blood,318
soft skin,318
sitting position,317
eyes flickered,316
haldir smiled,316
leaned closer,315
amon hen,314
bilbo stared,314
pay attention,313
finally found,312
it’s fine,312
familiar voice,311
lady dis,311
laid eyes,311
legolas admitted,311
legolas left,311
pale blue,311
sister sons,311
eyes looked,309
grey company,308
thranduil frowned,308
warm water,308
dwarf legolas,307
elladan replied,307
falling asleep,307
gold hair,307
sad smile,307
sam looked,307
thranduil continued,307
adar legolas,306
eryn carantaur,306
thranduil walked,306
council meeting,305
deep sigh,305
head slowly,305
short distance,305
elladan nodded,304
foster father,304
smile grew,304
dwarf looked,303
golden flower,303
legolas lifted,303
aragorn spoke,302
thou didst,302
aragorn pulled,301
bloody hell,301
elf friend,301
elrohir smiled,300
hand legolas,300
ion nîn,300
raven haired,300
voice called,300
nin legolas,299
prince fíli,298
text title,298
entire company,297
eyes held,297
left legolas,297
text disclaimer,297
tithen pen,297
breathing heavily,296
mirkwood elf,296
fili didn’t,295
aragorn found,294
king aragorn,294
tol eressëa,294
bilbo chuckled,293
durin's day,293
frodo frodo,292
legolas lay,292
king legolas,291
thou hast,291
violet eyes,291
bilbo glanced,290
male elf,290
von ratched,290
captain america,289
didn’t mind,289
didn’t stop,289
spoke quietly,289
stepping forward,289
text gimli,289
white gems,289
dark brown,288
didn’t move,288
hobbit hole,288
legolas caught,288
send word,288
bilbo sat,287
bilbo whispered,287
gimli chuckled,287
thorin called,287
thorin found,287
glorfindel sighed,286
king oropher,286
durin’s folk,285
white lady,285
aran thranduil,284
bad idea,284
door closed,284
elrohir replied,284
fili noticed,284
gimli sat,284
previous night,284
royal chambers,284
thranduil’s hair,284
pale hair,283
friend aragorn,281
heavy sigh,281
pelennor fields,281
thou wilt,281
aye gimli,280
dark green,280
finally managed,280
forest road,280
legolas neck,280
voice trailed,280
looked confused,279
samwise gamgee,279
thorin pulled,279
elf smiled,278
elven king’s,278
gimli stood,278
legolas explained,278
thranduil oropherion,278
legolas suddenly,277
twin sons,277
aragorn gimli,276
orc pack,276
strong hands,276
woodland prince,276
bilbo stood,275
chapter 10,275
thorin spoke,275
woodland elves,275
amon lanc,274
fast asleep,274
didn’t notice,273
legolas blushed,273
replied legolas,273
free peoples,272
hard cock,272
heart beating,272
white tower,272
legolas noticed,271
thorin thranduil,271
twenty minutes,271
gandalf smiled,270
horse lord,270
summary legolas,270
foul creatures,269
gandalf aragorn,269
leaned forwards,269
legolas groaned,269
white light,269
legolas arms,268
brows furrowed,267
future king,267
lord boromir,267
bathing chamber,266
eyes gleaming,266
legolas bowed,266
half breed,265
ion nín,265
it’s true,265
legolas feels,265
legolas pushed,265
bilbo wasn’t,263
kili noticed,263
lips twitched,263
thirteen dwarves,263
white horse,263
eyes lit,262
gimli watched,262
head snapped,262
shaky breath,262
tauriel laughed,262
thorin smiles,262
aragorn aragorn,261
aragorn murmured,261
aragorn’s hand,261
bard’s hand,261
bowed low,261
fili whispered,261
slender fingers,261
thorin answered,261
bed legolas,260
eyes shining,260
gentle smile,260
tauriel told,260
thranduil lifted,260
told thorin,260
faramir smiled,259
golden head,259
thranduil murmured,259
ash nazg,258
frodo sighed,258
boromir nodded,257
broad shoulders,257
dearest friend,257
gritted teeth,257
kili replied,257
thorin’s heart,257
voice echoed,257
bilbo answered,256
legolas bit,256
legolas decided,256
bard agreed,255
bard chuckled,255
hobbit bilbo,255
thranduil started,255
can’t wait,254
elder brother,254
gimli grunted,254
legolas smiles,254
rushed forward,254
aragorn chuckled,253
heart ached,253
tauriel replied,253
text aragorn,253
aragorn didn’t,252
front gate,252
gimli's eyes,252
i’m gonna,252
legolas responded,252
spending time,252
tauriel shook,252
thranduil’s heart,251
elrohir sighed,250
returned home,250
finally reached,249
gil galad's,249
kili whispered,249
king looked,249
silver blue,249
cell phone,248
prancing pony,248
set foot,248
swallowed thickly,248
thranduil bard,248
au summary,247
gimli’s shoulder,247
head legolas,247
kitchen table,247
leaving legolas,247
locked eyes,247
thorin nods,247
thorin shouted,247
wide smile,247
erestor nodded,246
eyes meet,246
gimli growled,246
helms deep,246
hiril vuin,246
stone walls,246
coming home,245
head tilted,245
